geohash,median_distance_in_km,median_speed_kmh,avg_sd_ratio,search_got_estimates,search_for_quotes,search_got_quotes,fare_acceptance_rate,quote_acceptance_rate,completed_rides,conversion_rate
tf346,6.61,19.73,1.16,"15,315","7,344","5,248",0.48,0.714596949891068,"3,070",0.418028322440087
tf341,6.41,19.46,1.36,"14,744","7,827","5,690",0.53086001085,0.7269707423023,"3,582",0.4576466079
tf343,6.13,19.24,1.55,"11,974","6,119","4,644",0.511023885084,0.75894754045,"2,920",0.4772022
tf31c,8.02,21.82,1.71,"8,756","4,286","3,309",0.48949291914116033,0.772048530098,"2,023",0.47200186654223053
tf344,7.04,19.64,1.45,"8,656","4,697","3,553",0.542629390018,0.75644028103044,"2,239",0.4766872471790505
tf31f,8.82,20.96,1.36,"7,437","3,881","2,849",0.5218502084,0.7340891522803401,"1,743",0.449111054
tf340,8.02,18.99,1.67,"7,274","3,530","2,582",0.4852900742370085,0.7314447592068,"1,555",0.440509915014
tf342,7.71,20.3,1.6,"7,223","3,432","2,480",0.47514883013,0.72261072261072,"1,480",0.43
tf2cx,8.34,24.26,1.43,"6,308","2,481","2,066",0.3933100824350031,0.8327287384119306,"1,276",0.5143087
tf349,8.44,20.69,1.47,"5,589","2,588","1,709",0.463052424405081,0.66036,"1,047",0.4045595054096
tf319,8.46,22.07,1.87,"4,986","2,297","1,686",0.460689931809065,0.73400087070091,"1,009",0.439268611232042
tf31b,8.45,22.4,1.42,"4,557","2,094","1,631",0.459512837393022,0.778892073,"1,071",0.511461318052
tf318,9.51,22.76,1.65,"4,497","2,109","1,501",0.47,0.71,925,0.43859649122807015
tf34d,7.25,20.12,1.45,"4,232","1,749","1,258",0.41,0.71926815323042,687,0.39
tf2fp,9.88,21.17,1.46,"3,739","1,431","1,067",0.3827226531158064,0.7456324248777079,639,0.4465408805031
tf313,11.22,23.45,1.45,"3,036","1,114",838,0.36693017,0.75224416517056,543,0.487432675045
tf312,10.36,23.25,1.44,"2,891","1,277",880,0.44,0.69,543,0.43
tf348,9.25,22.94,1.96,"2,566","1,021",688,0.3978955572876072,0.67,444,0.4348677766895201
tf2cz,9.26,22,1.54,"2,000",733,561,0.37,0.7653478854025,334,0.4556616643929058
tf2fx,10.88,22.57,1.23,"1,775",562,438,0.3166197183099,0.779359430605,290,0.516014
tf2cq,9.68,27.77,0.98100921273032,"1,570",539,354,0.34331210191083,0.66,212,0.39332096
tf2fr,8.95,22.08,1,"1,569",618,413,0.39,0.668284789644013,223,0.36084142394822005
tf311,15.19,26.61,0.5677081807081809,"1,485",424,288,0.29,0.679245283019,187,0.441037735849057
tf31d,9.75,21.03,1.62,"1,386",657,454,0.474025974026,0.6910197869102,274,0.41704718417047
tf2cr,10.26,24.87,0.96808509074,"1,289",455,335,0.35,0.74,211,0.46
